1NETVIEW|HD|RETAILSID|001|20200120021838|228399,,,,,,,,,,,,,,,,,
00|HSBA_CLBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,11/1.623,NPEALCBJ21,1,3/2/1.623,NB=NPEALCBJ21,1,1/2/1.2081,IBSE01.PUJ,1,13/0/3.2081,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,11/1.623,NPEALCBJ21,1,3/2/1.623,NB=NPEALCBJ21,1,1/2/1.2081,IBSE01.PUJ,1,13/0/3.2081,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,NTA/1.623,NPEALCBJ21,1,3/2/1.623,NB=NPEALCBJ21,1,1/2/1.2081,IBSE01.PUJ,1,13/0/3.2081,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,NTA/1.623,NPEALCBJ21,1,3/2/1.623,NB=NPEALCBJ21,1,1/2/1.2081,IBSE01.PUJ,1,13/0/3.2081,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_G002|U|OPTICAL|1|ON=CBJ_G002,1,NTA/1.623,NPEALCBJ21,1,4/2/1.623,NB=NPEALCBJ21,1,1/2/1.2055,IBSE01.PUJ,1,13/0/3.2055,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_G002|U|OPTICAL|1|ON=CBJ_G002,1,NTA/1.623,NPEALCBJ21,1,4/2/1.623,NB=NPEALCBJ21,1,1/2/1.2055,IBSE01.PUJ,1,13/0/3.2055,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_G007|U|OPTICAL|1|ON=CBJ_G007,1,NTA/5.623,NPEALCBJ21,1,9/1/1.623,NB=NPEALCBJ21,1,1/2/1.2057,IBSE01.PUJ,1,13/0/3.2057,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_G007|U|OPTICAL|1|ON=CBJ_G007,1,NTA/5.623,NPEALCBJ21,1,9/1/1.623,NB=NPEALCBJ21,1,1/2/1.2057,IBSE01.PUJ,1,13/0/3.2057,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,,0.623,NPEALCBJ21,1,10/2/6.623,NB=NPEALCBJ21,1,1/2/1.2056,IBSE01.PUJ,1,13/0/3.2056,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,,0.623,NPEALCBJ21,1,10/2/6.623,NB=NPEALCBJ21,1,1/2/1.2056,IBSE01.PUJ,1,13/0/3.2056,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,0,0/19/0.623,NPEALCBJ21,1,9/2/9.623,NB=NPEALCBJ21,1,1/2/1.2056,IBSE01.PUJ,1,13/0/3.2056,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,0,0/19/0.623,NPEALCBJ21,1,9/2/9.623,NB=NPEALCBJ21,1,1/2/1.2056,IBSE01.PUJ,1,13/0/3.2056,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-KIN_G019|U|OPTICAL|1|ON=KIN_G019,1,NTA/5.623,NPEZTKIN23,1,4/3.623,NB=NPEZTKIN23,1,1/2.2036,IBSE01.PUJ,1,14/0/3.2036,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-KIN_G019|U|OPTICAL|1|ON=KIN_G019,1,NTA/5.623,NPEZTKIN23,1,4/3.623,NB=NPEZTKIN23,1,1/2.2036,IBSE01.PUJ,1,14/0/3.2036,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-KIN_G020|U|OPTICAL|1|ON=KIN_G020,1,NTA/5.623,NPEZTKIN23,1,4/4.623,NB=NPEZTKIN23,1,1/2.2037,IBSE01.PUJ,1,14/0/3.2037,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-KIN_G020|U|OPTICAL|1|ON=KIN_G020,1,NTA/5.623,NPEZTKIN23,1,4/4.623,NB=NPEZTKIN23,1,1/2.2037,IBSE01.PUJ,1,14/0/3.2037,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-KIN_G051|U|OPTICAL|1|ON=KIN_G051,0,19/1.623,NPEZTKIN23,1,3/1.623,NB=NPEZTKIN23,1,1/2.2038,IBSE01.PUJ,1,14/0/3.2038,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-KIN_G051|U|OPTICAL|1|ON=KIN_G051,0,19/1.623,NPEZTKIN23,1,3/1.623,NB=NPEZTKIN23,1,1/2.2038,IBSE01.PUJ,1,14/0/3.2038,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-PUJ_G004|U|OPTICAL|1|ON=PUJ_G004,1,NTA/1.623,NPEALPUJ21,1,10/1/1.623,NB=NPEALPUJ21,1,1/2/1.2216,IBSE01.PUJ,1,14/0/1.2216,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-PUJ_G004|U|OPTICAL|1|ON=PUJ_G004,1,NTA/1.623,NPEALPUJ21,1,10/1/1.623,NB=NPEALPUJ21,1,1/2/1.2216,IBSE01.PUJ,1,14/0/1.2216,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-PUJ_G008|U|OPTICAL|1|ON=PUJ_G008,1,NTA/5.623,NPEALPUJ21,1,2/1/7.623,NB=NPEALPUJ21,1,1/2/1.2218,IBSE01.PUJ,1,14/0/1.2218,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-PUJ_G008|U|OPTICAL|1|ON=PUJ_G008,1,NTA/5.623,NPEALPUJ21,1,2/1/7.623,NB=NPEALPUJ21,1,1/2/1.2218,IBSE01.PUJ,1,14/0/1.2218,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-SDG_G019|U|OPTICAL|1|ON=SDG_G019,1,NTA/5.623,NPEZTSDG23,1,4/3.623,NB=NPEZTSDG23,1,1/2.2034,IBSE01.PUJ,1,10/0/4.2034,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-SDG_G019|U|OPTICAL|1|ON=SDG_G019,1,NTA/5.623,NPEZTSDG23,1,4/3.623,NB=NPEZTSDG23,1,1/2.2034,IBSE01.PUJ,1,10/0/4.2034,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-USJ_G007|U|OPTICAL|1|ON=USJ_G007,0,19/0.623,NPEALUSJ21,1,7/1/1.623,NB=NPEALUSJ21,1,1/2/1.2087,IBSE01.PUJ,1,14/0/0.2087,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-USJ_G007|U|OPTICAL|1|ON=USJ_G007,0,19/0.623,NPEALUSJ21,1,7/1/1.623,NB=NPEALUSJ21,1,1/2/1.2087,IBSE01.PUJ,1,14/0/0.2087,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLBBC-HSIA-USJ_G016|U|OPTICAL|1|ON=USJ_G016,0,19/0.623,NPEALUSJ23,1,6/1/1.623,NB=NPEALUSJ23,1,1/2/1.2042,IBSE01.PUJ,1,13/0/2.2042,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLBBC-HSIA-USJ_G016|U|OPTICAL|1|ON=USJ_G016,0,19/0.623,NPEALUSJ23,1,6/1/1.623,NB=NPEALUSJ23,1,1/2/1.2042,IBSE01.PUJ,1,13/0/2.2042,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_G002|U|OPTICAL|1|ON=CBJ_G002,1,NTA/1.825,NPEALCBJ21,1,4/2/1.825,NB=NPEALCBJ21,1,1/2/1.3255,IBSE01.PUJ,1,13/0/3.3255,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_G002|U|OPTICAL|1|ON=CBJ_G002,1,NTA/1.825,NPEALCBJ21,1,4/2/1.825,NB=NPEALCBJ21,1,1/2/1.3255,IBSE01.PUJ,1,13/0/3.3255,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_G007|U|OPTICAL|1|ON=CBJ_G007,1,NTA/5.825,NPEALCBJ21,1,9/1/1.825,NB=NPEALCBJ21,1,1/2/1.3257,IBSE01.PUJ,1,13/0/3.3257,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_G007|U|OPTICAL|1|ON=CBJ_G007,1,NTA/5.825,NPEALCBJ21,1,9/1/1.825,NB=NPEALCBJ21,1,1/2/1.3257,IBSE01.PUJ,1,13/0/3.3257,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,,0.825,NPEALCBJ21,1,10/2/6.825,NB=NPEALCBJ21,1,1/2/1.3256,IBSE01.PUJ,1,13/0/3.3256,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,,0.825,NPEALCBJ21,1,10/2/6.825,NB=NPEALCBJ21,1,1/2/1.3256,IBSE01.PUJ,1,13/0/3.3256,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,0,0/19/0.825,NPEALCBJ21,1,9/2/9.825,NB=NPEALCBJ21,1,1/2/1.3256,IBSE01.PUJ,1,13/0/3.3256,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-CBJ_V1016|U|OPTICAL|1|IN=CBJ_V1016,0,0/19/0.825,NPEALCBJ21,1,9/2/9.825,NB=NPEALCBJ21,1,1/2/1.3256,IBSE01.PUJ,1,13/0/3.3256,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-KIN_G019|U|OPTICAL|1|ON=KIN_G019,1,NTA/5.825,NPEZTKIN23,1,4/3.825,NB=NPEZTKIN23,1,1/2.3236,IBSE01.PUJ,1,14/0/3.3236,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-KIN_G019|U|OPTICAL|1|ON=KIN_G019,1,NTA/5.825,NPEZTKIN23,1,4/3.825,NB=NPEZTKIN23,1,1/2.3236,IBSE01.PUJ,1,14/0/3.3236,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-KIN_G020|U|OPTICAL|1|ON=KIN_G020,1,NTA/5.825,NPEZTKIN23,1,4/4.825,NB=NPEZTKIN23,1,1/2.3237,IBSE01.PUJ,1,14/0/3.3237,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-KIN_G020|U|OPTICAL|1|ON=KIN_G020,1,NTA/5.825,NPEZTKIN23,1,4/4.825,NB=NPEZTKIN23,1,1/2.3237,IBSE01.PUJ,1,14/0/3.3237,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-KIN_G051|U|OPTICAL|1|ON=KIN_G051,0,19/1.825,NPEZTKIN23,1,3/1.825,NB=NPEZTKIN23,1,1/2.3238,IBSE01.PUJ,1,14/0/3.3238,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-KIN_G051|U|OPTICAL|1|ON=KIN_G051,0,19/1.825,NPEZTKIN23,1,3/1.825,NB=NPEZTKIN23,1,1/2.3238,IBSE01.PUJ,1,14/0/3.3238,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-PUJ_G004|U|OPTICAL|1|ON=PUJ_G004,1,NTA/1.825,NPEALPUJ21,1,10/1/1.825,NB=NPEALPUJ21,1,1/2/1.3416,IBSE01.PUJ,1,14/0/1.3416,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-PUJ_G004|U|OPTICAL|1|ON=PUJ_G004,1,NTA/1.825,NPEALPUJ21,1,10/1/1.825,NB=NPEALPUJ21,1,1/2/1.3416,IBSE01.PUJ,1,14/0/1.3416,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-PUJ_G008|U|OPTICAL|1|ON=PUJ_G008,1,NTA/5.825,NPEALPUJ21,1,2/1/7.825,NB=NPEALPUJ21,1,1/2/1.3418,IBSE01.PUJ,1,14/0/1.3418,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-PUJ_G008|U|OPTICAL|1|ON=PUJ_G008,1,NTA/5.825,NPEALPUJ21,1,2/1/7.825,NB=NPEALPUJ21,1,1/2/1.3418,IBSE01.PUJ,1,14/0/1.3418,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-SDG_G019|U|OPTICAL|1|ON=SDG_G019,1,NTA/5.825,NPEZTSDG23,1,4/3.825,NB=NPEZTSDG23,1,1/2.3234,IBSE01.PUJ,1,10/0/4.3234,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-SDG_G019|U|OPTICAL|1|ON=SDG_G019,1,NTA/5.825,NPEZTSDG23,1,4/3.825,NB=NPEZTSDG23,1,1/2.3234,IBSE01.PUJ,1,10/0/4.3234,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-USJ_G007|U|OPTICAL|1|ON=USJ_G007,0,19/0.825,NPEALUSJ21,1,7/1/1.825,NB=NPEALUSJ21,1,1/2/1.3287,IBSE01.PUJ,1,14/0/0.3287,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-USJ_G007|U|OPTICAL|1|ON=USJ_G007,0,19/0.825,NPEALUSJ21,1,7/1/1.825,NB=NPEALUSJ21,1,1/2/1.3287,IBSE01.PUJ,1,14/0/0.3287,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_CLVOB-VOBB-USJ_G016|U|OPTICAL|1|ON=USJ_G016,0,19/0.825,NPEALUSJ23,1,6/1/1.825,NB=NPEALUSJ23,1,1/2/1.3242,IBSE01.PUJ,1,13/0/2.3242,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_CLVOB-VOBB-USJ_G016|U|OPTICAL|1|ON=USJ_G016,0,19/0.825,NPEALUSJ23,1,6/1/1.825,NB=NPEALUSJ23,1,1/2/1.3242,IBSE01.PUJ,1,13/0/2.3242,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,11/1.624,NPEALCBJ21,1,3/2/1.624,NB=NPEALCBJ21,1,1/2/1.2109,IBSE01.PUJ,1,13/0/3.2109,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,11/1.624,NPEALCBJ21,1,3/2/1.624,NB=NPEALCBJ21,1,1/2/1.2109,IBSE01.PUJ,1,13/0/3.2109,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,NTA/1.624,NPEALCBJ21,1,3/2/1.624,NB=NPEALCBJ21,1,1/2/1.2109,IBSE01.PUJ,1,13/0/3.2109,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G001|U|OPTICAL|1|ON=CBJ_G001,1,NTA/1.624,NPEALCBJ21,1,3/2/1.624,NB=NPEALCBJ21,1,1/2/1.2109,IBSE01.PUJ,1,13/0/3.2109,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G002|U|OPTICAL|1|ON=CBJ_G002,1,NTA/1.624,NPEALCBJ21,1,4/2/1.624,NB=NPEALCBJ21,1,1/2/1.2114,IBSE01.PUJ,1,13/0/3.2114,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G002|U|OPTICAL|1|ON=CBJ_G002,1,NTA/1.624,NPEALCBJ21,1,4/2/1.624,NB=NPEALCBJ21,1,1/2/1.2114,IBSE01.PUJ,1,13/0/3.2114,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G004|U|OPTICAL|1|ON=CBJ_G004,1,NTA/5.624,NPEALCBJ21,1,6/1/1.624,NB=NPEALCBJ21,1,1/2/1.2110,IBSE01.PUJ,1,13/0/3.2110,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G004|U|OPTICAL|1|ON=CBJ_G004,1,NTA/5.624,NPEALCBJ21,1,6/1/1.624,NB=NPEALCBJ21,1,1/2/1.2110,IBSE01.PUJ,1,13/0/3.2110,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G006|U|OPTICAL|1|ON=CBJ_G006,1,NTA/5.624,NPEALCBJ21,1,8/1/1.624,NB=NPEALCBJ21,1,1/2/1.2111,IBSE01.PUJ,1,13/0/3.2111,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-CBJ_G006|U|OPTICAL|1|ON=CBJ_G006,1,NTA/5.624,NPEALCBJ21,1,8/1/1.624,NB=NPEALCBJ21,1,1/2/1.2111,IBSE01.PUJ,1,13/0/3.2111,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G010|U|OPTICAL|1|ON=KIN_G010,1,NTA/5.624,NPEZTKIN21,1,4/2.624,NB=NPEZTKIN21,1,1/2.2266,IBSE01.PUJ,1,13/0/0.2266,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G010|U|OPTICAL|1|ON=KIN_G010,1,NTA/5.624,NPEZTKIN21,1,4/2.624,NB=NPEZTKIN21,1,1/2.2266,IBSE01.PUJ,1,13/0/0.2266,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G013|U|OPTICAL|1|ON=KIN_G013,1,NTA/5.624,NPEZTKIN21,1,5/1.624,NB=NPEZTKIN21,1,1/2.2256,IBSE01.PUJ,1,13/0/0.2256,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G013|U|OPTICAL|1|ON=KIN_G013,1,NTA/5.624,NPEZTKIN21,1,5/1.624,NB=NPEZTKIN21,1,1/2.2256,IBSE01.PUJ,1,13/0/0.2256,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G016|U|OPTICAL|1|ON=KIN_G016,1,NTA/6.624,NPEZTKIN21,1,5/4.624,NB=NPEZTKIN21,1,1/2.2270,IBSE01.PUJ,1,13/0/0.2270,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G016|U|OPTICAL|1|ON=KIN_G016,1,NTA/6.624,NPEZTKIN21,1,5/4.624,NB=NPEZTKIN21,1,1/2.2270,IBSE01.PUJ,1,13/0/0.2270,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
